status,approach,model_slug,device_profile,prompt_strategy,runs_expected,runs_completed,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,accuracy_mean,accuracy_std,latency_median_ms_mean,latency_median_ms_std,latency_p95_ms_mean,latency_p95_ms_std
completed,llm_http,qwen3-4b,gpu,zero-shot,1,1,0.15521628498727735,,0.14157824933687002,,0.14808392578463672,,0.7140376266280752,,382.388623,,1661.0979331999993,
completed,llm_http,qwen3-8b,gpu,one-shot,3,3,0.28350905818661165,0.03573519402155917,0.28779840848806365,0.004973474801061001,0.2850595327002455,0.020843377823558964,0.7713458755426917,0.0056729377713458495,790.8023065,93.06281831272923,2652.3384307999995,170.48085053618456
completed,llm_http,qwen3-8b,gpu,three-shot,3,3,0.36272895573848046,0.013775439131713354,0.355658709106985,0.020889471302089763,0.3590479571329337,0.01611862358141941,0.788712011577424,0.003883617509168041,855.5936843333333,93.78162899601463,2525.6504394,131.30832258323665
completed,llm_http,qwen3-8b,gpu,zero-shot,1,1,0.24525377760557923,,0.20988063660477455,,0.22619260318027515,,0.751027496382055,,522.9774315,,2385.690599299996,
completed,llm_http,qwen3.5-2b,gpu,one-shot,3,3,0.046127074824086706,0.030657812233509395,0.026083112290008842,0.01646624409555143,0.03310839489813547,0.021486668417271045,0.696227689339122,0.006322782359784141,164.16809066666667,2.0180669875304167,657.9073106499998,247.41215160219474
completed,llm_http,qwen3.5-2b,gpu,three-shot,3,3,0.05910535927125721,0.044074283742600084,0.0584659593280283,0.03502106941474635,0.05845048069146201,0.03926484773400256,0.6904968644476605,0.020777552111567257,222.7530181666667,77.30404077378284,1228.7372469666661,261.7657991897291
completed,llm_http,qwen3.5-2b,gpu,zero-shot,1,1,0.03904282115869018,,0.020557029177718834,,0.02693310165073849,,0.6947612156295224,,162.355356,,606.8014354999999,
completed,llm_http,trendyol-llm-7b-chat-v4.1.0,gpu,one-shot,3,3,0.029012768916969803,0.019153220138164583,0.03614058355437666,0.0181635887596848,0.03203851918634375,0.01889358621333072,0.6676314520019296,0.010301034304616258,2132.8770343333335,559.8362208282934,4668.896299566667,3.2278664164384994
completed,llm_http,trendyol-llm-7b-chat-v4.1.0,gpu,three-shot,3,3,0.04285845967730522,0.017660676403247262,0.05537135278514589,0.018051270011692575,0.04824462800745419,0.018002413067620553,0.6804823926676314,0.007730549827027667,1898.5684138333334,576.7016389836592,4701.099743783333,9.251699998282154
completed,llm_http,trendyol-llm-7b-chat-v4.1.0,gpu,zero-shot,1,1,0.061605206073752715,,0.047082228116710874,,0.053373426047735394,,0.683589001447178,,437.32443,,4653.352990900001,
completed,transformer_http,dbmdz-bert-base-turkish-cased-wiki-tuned,gpu,fine-tuned,1,1,0.8036974789915966,,0.7927718832891246,,0.7981972959439158,,0.9390448625180897,,10.731902,,11.830771499999999,
completed,transformer_http,dbmdz-distilbert-base-turkish-cased-wiki-tuned,gpu,fine-tuned,1,1,0.7542857142857143,,0.7440318302387268,,0.7491236855282923,,0.9234153400868307,,6.807320499999999,,7.884510699999998,
