status,approach,model_slug,device_profile,prompt_strategy,seed,component,count,mean_ms,median_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms
completed,llm_http,gemma-3-4b-it,gpu,three-shot,1771,server_generation,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,three-shot,1771,server_inference,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,three-shot,1771,server_mean_itl,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,three-shot,1771,server_prefill,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,three-shot,1771,server_queue,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,three-shot,1771,server_tokens_per_second,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,three-shot,1771,server_ttft,0,,,,,,,
completed,llm_http,gemma-3-4b-it,gpu,three-shot,2401,client_e2e,1000,1095.7435601880009,871.968447,2044.3527185,2545.1081795999985,3166.9992385200003,235.374867,3173.435007
completed,llm_http,gemma-3-4b-it,gpu,three-shot,2401,client_generation_after_first_token,1000,1047.0976332259995,822.9202455,1994.832292,2494.3813816999987,3114.70188604,192.153418,3121.566142
completed,llm_http,gemma-3-4b-it,gpu,three-shot,2401,client_output_tokens_per_second,1000,117.64148041785295,118.36782558892358,120.9252088877336,121.21261481026373,121.50043528559559,102.03183877408794,121.62621227922067
completed,llm_http,gemma-3-4b-it,gpu,three-shot,2401,client_ttft,1000,48.64592696199995,48.780197,51.1933448,51.9070937,53.38162407000001,42.761407,56.280134
