status,approach,model_slug,device_profile,prompt_strategy,seed,entity_type,tp,fp,fn,precision,recall,f1
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,MONEY,0,13,5,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,NORP,10,249,202,0.03861003861003861,0.04716981132075472,0.042462845010615716
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,ORDINAL,1,51,103,0.019230769230769232,0.009615384615384616,0.012820512820512822
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,ORG,29,219,221,0.11693548387096774,0.116,0.11646586345381525
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,PERCENT,0,6,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,PERSON,167,510,487,0.2466765140324963,0.25535168195718655,0.25093914350112695
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,PRODUCT,6,144,55,0.04,0.09836065573770492,0.05687203791469194
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,QUANTITY,6,322,30,0.018292682926829267,0.16666666666666666,0.03296703296703297
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,TIME,0,98,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,TITLE,7,135,146,0.04929577464788732,0.0457516339869281,0.04745762711864406
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,WORK_OF_ART,14,583,144,0.023450586264656615,0.08860759493670886,0.037086092715231785
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,CARDINAL,0,27,240,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,DATE,4,245,339,0.01606425702811245,0.011661807580174927,0.013513513513513513
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,EVENT,2,174,93,0.011363636363636364,0.021052631578947368,0.014760147601476016
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,FAC,0,8,46,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,GPE,1,401,565,0.0024875621890547263,0.0017667844522968198,0.002066115702479339
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,LANGUAGE,0,10,29,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,LAW,0,1,6,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,LOC,0,198,50,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,MONEY,1,12,4,0.07692307692307693,0.2,0.1111111111111111
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,NORP,0,187,212,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,ORDINAL,0,43,104,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,ORG,1,184,249,0.005405405405405406,0.004,0.004597701149425287
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,PERCENT,0,3,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,PERSON,9,610,645,0.014539579967689823,0.013761467889908258,0.014139827179890024
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,PRODUCT,0,111,61,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,QUANTITY,1,110,35,0.009009009009009009,0.027777777777777776,0.01360544217687075
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,TIME,0,46,4,0.0,0.0,0.0
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,TITLE,1,75,152,0.013157894736842105,0.006535947712418301,0.008733624454148471
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,WORK_OF_ART,0,230,158,0.0,0.0,0.0
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,CARDINAL,59,151,181,0.28095238095238095,0.24583333333333332,0.26222222222222225
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,DATE,28,381,315,0.06845965770171149,0.08163265306122448,0.07446808510638298
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,EVENT,4,83,91,0.04597701149425287,0.042105263157894736,0.04395604395604396
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,FAC,1,11,45,0.08333333333333333,0.021739130434782608,0.034482758620689655
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,GPE,140,613,426,0.18592297476759628,0.24734982332155478,0.21228203184230476
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,LANGUAGE,10,15,19,0.4,0.3448275862068966,0.3703703703703704
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,LAW,0,4,6,0.0,0.0,0.0
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,LOC,3,52,47,0.05454545454545454,0.06,0.05714285714285715
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,MONEY,0,5,5,0.0,0.0,0.0
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,NORP,19,33,193,0.36538461538461536,0.08962264150943396,0.14393939393939395
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,ORDINAL,24,46,80,0.34285714285714286,0.23076923076923078,0.2758620689655173
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,ORG,44,300,206,0.12790697674418605,0.176,0.14814814814814814
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,PERCENT,0,4,4,0.0,0.0,0.0
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,PERSON,314,316,340,0.4984126984126984,0.4801223241590214,0.4890965732087228
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,PRODUCT,11,46,50,0.19298245614035087,0.18032786885245902,0.18644067796610167
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,QUANTITY,5,14,31,0.2631578947368421,0.1388888888888889,0.18181818181818182
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,TIME,0,18,4,0.0,0.0,0.0
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,TITLE,6,64,147,0.08571428571428572,0.0392156862745098,0.053811659192825115
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,WORK_OF_ART,33,87,125,0.275,0.2088607594936709,0.23741007194244607
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,CARDINAL,30,150,210,0.16666666666666666,0.125,0.14285714285714288
